========== THREADING <Thread(Thread-11 (getAllPesertaKelas), stopped 139888921912896)> COMPLETE ==========
Time taken : 1305.56 seconds
Scrapping Student Course 11 kode FTEP01
Scrapping Student Course 11 kode FTEP02
Scrapping Student Course 11 kode FTEP01
Scrapping Student Course 27 kode FTT302
Scrapping Student Course 11 kode FTT302
Scrapping Student Course 24 kode FTT302
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 12 kode FTT302
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 19 kode FTT302
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 16 kode FTT302
Scrapping Student Course 11 kode FTEP02
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 28 kode FTT302
Scrapping Student Course 25 kode FTT302
Scrapping Student Course 11 kode TAR104
Scrapping Student Course 12 kode FTT302
Scrapping Student Course 11 kode TIK102
Scrapping Student Course 19 kode FTT302
Scrapping Student Course 20 kode FTT302
Scrapping Student Course 21 kode FTT302
Scrapping Student Course 11 kode TEK102
Scrapping Student Course 17 kode FTT302
Scrapping Student Course 11 kode TMS102
Scrapping Student Course 14 kode FTT302
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 12 kode TIK102
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 13 kode FTT302
Scrapping Student Course 18 kode FTT302
Scrapping Student Course 12 kode TEK102
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 12 kode TAR104
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 12 kode TMS102
Scrapping Student Course 11 kode TGS102
Scrapping Student Course 13 kode TIK102
Scrapping Student Course 15 kode FTT302
Scrapping Student Course 11 kode TGL102
Scrapping Student Course 26 kode FTT302
Scrapping Student Course 11 kode TPW108
Scrapping Student Course 13 kode TEK102
Scrapping Student Course 11 kode TIK104
Scrapping Student Course 13 kode TMS102
Scrapping Student Course 13 kode TAR104
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 31 kode FTT302
Scrapping Student Course 12 kode TGL102
Scrapping Student Course 11 kode TPB102
Scrapping Student Course 12 kode TGS102
Scrapping Student Course 27 kode FTT302
Scrapping Student Course 12 kode TPW108
Scrapping Student Course 11 kode TEK104
Scrapping Student Course 11 kode TIU102
Scrapping Student Course 14 kode TMS102
Scrapping Student Course 14 kode TAR104
Scrapping Student Course 12 kode TPB102
Scrapping Student Course 11 kode MKSPO2
Scrapping Student Course 12 kode TIK104
Scrapping Student Course 13 kode TGL102
Scrapping Student Course 11 kode TPW110
Scrapping Student Course 29 kode FTT302
Scrapping Student Course 11 kode TGS104
Scrapping Student Course 11 kode TMS104
Scrapping Student Course 12 kode TEK104
Scrapping Student Course 11 kode TLE102
Scrapping Student Course 12 kode TIU102
Scrapping Student Course 15 kode TAR104
Scrapping Student Course 13 kode TPB102
Scrapping Student Course 11 kode TGL104
Scrapping Student Course 12 kode TPW110
Scrapping Student Course 30 kode FTT302
Scrapping Student Course 13 kode TIK104
Scrapping Student Course 12 kode TMS104
Scrapping Student Course 13 kode TEK104
Scrapping Student Course 12 kode TGS104
Scrapping Student Course 12 kode TLE102
Scrapping Student Course 16 kode TAR104
Scrapping Student Course 11 kode TPB110
Scrapping Student Course 13 kode TIU102
Scrapping Student Course 11 kode MKSP02
Scrapping Student Course 12 kode TGL104
Scrapping Student Course 11 kode TIK106
Scrapping Student Course 13 kode TMS104
Scrapping Student Course 11 kode TPW112
Scrapping Student Course 11 kode TEK106
Scrapping Student Course 11 kode TIU104
Scrapping Student Course 11 kode TAR112
Scrapping Student Course 11 kode TGS106
Scrapping Student Course 12 kode TPB110
Scrapping Student Course 13 kode TLE102
Scrapping Student Course 12 kode TIK106
Scrapping Student Course 13 kode TGL104
Scrapping Student Course 11 kode PTS102
Scrapping Student Course 14 kode TMS104
Scrapping Student Course 15 kode TMS104
Scrapping Student Course 16 kode TMS104
Scrapping Student Course 11 kode TEK108
Scrapping Student Course 17 kode TMS104
Scrapping Student Course 18 kode TMS104
Scrapping Student Course 12 kode TPW112
Scrapping Student Course 12 kode TIU104
Scrapping Student Course 11 kode TLE104
Scrapping Student Course 13 kode TPB110
Scrapping Student Course 13 kode TGS106
Scrapping Student Course 12 kode TAR112
Scrapping Student Course 12 kode PTS102
Scrapping Student Course 13 kode TIK106
Scrapping Student Course 11 kode TGL106
Scrapping Student Course 13 kode TPW112
Scrapping Student Course 13 kode TIU104
Scrapping Student Course 13 kode TAR112
Scrapping Student Course 11 kode TMS106
Scrapping Student Course 11 kode TPB112
Scrapping Student Course 11 kode TGS108
Scrapping Student Course 12 kode TLE104
Scrapping Student Course 12 kode TEK108
Scrapping Student Course 13 kode PTS102
Scrapping Student Course 11 kode TIK108
Scrapping Student Course 12 kode TGL106
Scrapping Student Course 14 kode TPW112
Scrapping Student Course 14 kode TAR112
Scrapping Student Course 11 kode TIU106
Scrapping Student Course 12 kode TGS108
Scrapping Student Course 12 kode TPB112
Scrapping Student Course 13 kode TEK108
Scrapping Student Course 14 kode PTS102
Scrapping Student Course 13 kode TLE104
Scrapping Student Course 12 kode TMS106
Scrapping Student Course 12 kode TIK108
Scrapping Student Course 13 kode TGL106
Scrapping Student Course 12 kode TIU106
Scrapping Student Course 15 kode TPW112
Scrapping Student Course 15 kode TAR112
Scrapping Student Course 11 kode TGS110
Scrapping Student Course 15 kode PTS102
Scrapping Student Course 13 kode TPB112
Scrapping Student Course 13 kode TMS106
Scrapping Student Course 11 kode TLE108
Scrapping Student Course 11 kode TEK110
Scrapping Student Course 11 kode TGL110
Scrapping Student Course 13 kode TIK108
Scrapping Student Course 13 kode TIU106
Scrapping Student Course 11 kode TAR114
Scrapping Student Course 11 kode TPB114
Scrapping Student Course 12 kode TGS110
Scrapping Student Course 16 kode TPW112
Scrapping Student Course 16 kode PTS102
Scrapping Student Course 12 kode TGL110
Scrapping Student Course 14 kode TMS106
Scrapping Student Course 12 kode TEK110
Scrapping Student Course 11 kode TIK110
Scrapping Student Course 12 kode TLE108
Scrapping Student Course 11 kode TIU108
Scrapping Student Course 11 kode TGS212
Scrapping Student Course 12 kode TAR114
Scrapping Student Course 12 kode TPB114
Scrapping Student Course 11 kode TPW114
Scrapping Student Course 13 kode TGL110
Scrapping Student Course 17 kode PTS102
Scrapping Student Course 13 kode TLE108
Scrapping Student Course 15 kode TMS106
Scrapping Student Course 12 kode TIK110
Scrapping Student Course 13 kode TEK110
Scrapping Student Course 12 kode TIU108
Scrapping Student Course 18 kode PTS102
Scrapping Student Course 13 kode TAR114
Scrapping Student Course 11 kode TLE110
Scrapping Student Course 11 kode TEK112
Scrapping Student Course 12 kode TGS212
Scrapping Student Course 16 kode TMS106
Scrapping Student Course 13 kode TIK110
Scrapping Student Course 13 kode TPB114
Scrapping Student Course 11 kode TGL112
Scrapping Student Course 12 kode TPW114
Scrapping Student Course 13 kode TIU108
Scrapping Student Course 12 kode TEK112
Scrapping Student Course 14 kode TAR114
Scrapping Student Course 11 kode TGS214
Scrapping Student Course 11 kode PTS106
Scrapping Student Course 11 kode TPB202
Scrapping Student Course 11 kode TIK112
Scrapping Student Course 12 kode TLE110
Scrapping Student Course 17 kode TMS106
Scrapping Student Course 11 kode TPW204
Scrapping Student Course 12 kode TGL112
Scrapping Student Course 11 kode TIU110
Scrapping Student Course 13 kode TEK112
Scrapping Student Course 12 kode TPB202
Scrapping Student Course 12 kode PTS106
Scrapping Student Course 12 kode TGS214
Scrapping Student Course 18 kode TMS106
Scrapping Student Course 15 kode TAR114
Scrapping Student Course 13 kode TLE110
Scrapping Student Course 13 kode TGL112
Scrapping Student Course 12 kode TIK112
Scrapping Student Course 12 kode TPW204
Scrapping Student Course 12 kode TIU110
Scrapping Student Course 11 kode TPW210
Scrapping Student Course 11 kode TGS220
Scrapping Student Course 13 kode PTS106
Scrapping Student Course 13 kode TPB202
Scrapping Student Course 11 kode TGL204
Scrapping Student Course 11 kode TEK114
Scrapping Student Course 13 kode TIK112
Scrapping Student Course 16 kode TAR114
Scrapping Student Course 11 kode TMS108
Scrapping Student Course 11 kode TLE112
Scrapping Student Course 13 kode TIU110
Scrapping Student Course 11 kode TPB204
Scrapping Student Course 14 kode PTS106
Scrapping Student Course 12 kode TEK114
Scrapping Student Course 12 kode TGS220
Scrapping Student Course 12 kode TPW210
Scrapping Student Course 12 kode TGL204
Scrapping Student Course 17 kode TAR114
Scrapping Student Course 11 kode TIK202
Scrapping Student Course 12 kode TLE112
Scrapping Student Course 12 kode TMS108
Scrapping Student Course 11 kode TIU202
Scrapping Student Course 11 kode TGS222
Scrapping Student Course 11 kode TPW216
Scrapping Student Course 12 kode TPB204
Scrapping Student Course 13 kode TEK114
Scrapping Student Course 13 kode TMS108
Scrapping Student Course 13 kode TGL204
Scrapping Student Course 18 kode TAR114
Scrapping Student Course 12 kode TIU202
Scrapping Student Course 12 kode TIK202
Scrapping Student Course 15 kode PTS106
Scrapping Student Course 13 kode TLE112
Scrapping Student Course 12 kode TPW216
Scrapping Student Course 12 kode TGS222
Scrapping Student Course 13 kode TPB204
Scrapping Student Course 11 kode TEK202
Scrapping Student Course 14 kode TMS108
Scrapping Student Course 11 kode TGL206
Scrapping Student Course 16 kode PTS106
Scrapping Student Course 15 kode TMS108
Scrapping Student Course 19 kode TAR114
Scrapping Student Course 17 kode TMS108
Scrapping Student Course 11 kode TLE206
Scrapping Student Course 13 kode TIK202
Scrapping Student Course 13 kode TIU202
Scrapping Student Course 11 kode TGS226
Scrapping Student Course 11 kode TPW218
Scrapping Student Course 12 kode TEK202
Scrapping Student Course 11 kode TPB208
Scrapping Student Course 17 kode PTS106
Scrapping Student Course 12 kode TGL206
Scrapping Student Course 11 kode TIK204
Scrapping Student Course 20 kode TAR114
Scrapping Student Course 11 kode TMS110
Scrapping Student Course 11 kode TIU204
Scrapping Student Course 12 kode TLE206
Scrapping Student Course 12 kode TGS226
Scrapping Student Course 12 kode TPW218
Scrapping Student Course 18 kode PTS106
Scrapping Student Course 12 kode TPB208
Scrapping Student Course 13 kode TEK202
Scrapping Student Course 11 kode TEK203
Scrapping Student Course 12 kode TMS110
Scrapping Student Course 12 kode TIK204
Scrapping Student Course 13 kode TGL206
Scrapping Student Course 21 kode TAR114
Scrapping Student Course 12 kode TIU204
Scrapping Student Course 11 kode TGS228
Scrapping Student Course 11 kode TPW220
Scrapping Student Course 13 kode TPB208
Scrapping Student Course 19 kode PTS106
Scrapping Student Course 11 kode TEK204
Scrapping Student Course 11 kode TGL208
Scrapping Student Course 22 kode TAR114
Scrapping Student Course 12 kode TGS228
Scrapping Student Course 13 kode TMS110
Scrapping Student Course 13 kode TIK204
Scrapping Student Course 12 kode TPW220
Scrapping Student Course 13 kode TIU204
Scrapping Student Course 12 kode TEK204
Scrapping Student Course 11 kode TPB210
Scrapping Student Course 20 kode PTS106
Scrapping Student Course 21 kode PTS106
Scrapping Student Course 23 kode TAR114
Scrapping Student Course 12 kode TGL208
Scrapping Student Course 11 kode TIU206
Scrapping Student Course 11 kode TPW222
Scrapping Student Course 11 kode TGS330
Scrapping Student Course 14 kode TMS110
Scrapping Student Course 11 kode TIK206
Scrapping Student Course 12 kode TPB210
Scrapping Student Course 22 kode PTS106
Scrapping Student Course 13 kode TEK204
Scrapping Student Course 24 kode TAR114
Scrapping Student Course 12 kode TIU206
Scrapping Student Course 15 kode TMS110
Scrapping Student Course 13 kode TGL208
Scrapping Student Course 12 kode TIK206
Scrapping Student Course 12 kode TPW222
Scrapping Student Course 12 kode TGS330
Scrapping Student Course 13 kode TPB210
Scrapping Student Course 23 kode PTS106
Scrapping Student Course 11 kode TEK206
Scrapping Student Course 11 kode TMS202
Scrapping Student Course 11 kode TGL210
Scrapping Student Course 25 kode TAR114
Scrapping Student Course 13 kode TIU206
Scrapping Student Course 24 kode PTS106
Scrapping Student Course 13 kode TIK206
Scrapping Student Course 11 kode TPB218
Scrapping Student Course 11 kode TPW224
Scrapping Student Course 12 kode TEK206
Scrapping Student Course 11 kode TGS332
Scrapping Student Course 11 kode TIU208
Scrapping Student Course 12 kode TMS202
Scrapping Student Course 26 kode TAR114
Scrapping Student Course 12 kode TGL210
Scrapping Student Course 12 kode TPB218
Scrapping Student Course 11 kode TIK208
Scrapping Student Course 12 kode TPW224
Scrapping Student Course 13 kode TEK206
Scrapping Student Course 25 kode PTS106
Scrapping Student Course 12 kode TGS332
Scrapping Student Course 27 kode TAR114
Scrapping Student Course 12 kode TIU208
Scrapping Student Course 13 kode TGL210
Scrapping Student Course 13 kode TMS202
Scrapping Student Course 12 kode TIK208
Scrapping Student Course 11 kode TGS338
Scrapping Student Course 13 kode TPW224
Scrapping Student Course 13 kode TPB218
Scrapping Student Course 11 kode TEK208
Scrapping Student Course 26 kode PTS106
Scrapping Student Course 14 kode TMS202
Scrapping Student Course 11 kode TGL212
Scrapping Student Course 28 kode TAR114
Scrapping Student Course 13 kode TIU208
Scrapping Student Course 11 kode TGS542
Scrapping Student Course 13 kode TIK208
Scrapping Student Course 14 kode TPW224
Scrapping Student Course 11 kode TPB220
Scrapping Student Course 27 kode PTS106
Scrapping Student Course 12 kode TEK208
Scrapping Student Course 11 kode TIU210
Scrapping Student Course 11 kode TMS204
Scrapping Student Course 29 kode TAR114
Scrapping Student Course 12 kode TGL212
Scrapping Student Course 13 kode TLE206
Scrapping Student Course 11 kode TGS548
Scrapping Student Course 12 kode TGS548
Scrapping Student Course 11 kode TIK210
Scrapping Student Course 13 kode TEK208
Scrapping Student Course 15 kode TPW224
Scrapping Student Course 12 kode TPB220
Scrapping Student Course 12 kode TIU210
Scrapping Student Course 12 kode TMS204
Scrapping Student Course 30 kode TAR114
Scrapping Student Course 28 kode PTS106
